Class,Naive Bayes,Linear SVM,RBF SVM
1,0.09375,0.0,0.0
2,0.335,0.311,0.319
3,0.0,0.0017211703958691911,0.0
4,0.018072289156626505,0.030120481927710843,0.09036144578313253
5,0.029585798816568046,0.23372781065088757,0.22781065088757396
6,0.8297455968688845,0.8023483365949119,0.9021526418786693
7,0.0,0.0,0.0
8,0.9522388059701492,0.982089552238806,0.9880597014925373
9,0.0,0.0,0.0
10,0.08529411764705883,0.0,0.0
11,0.8231529959278651,0.9610238510762071,0.9458987783595113
12,0.18795180722891566,0.0,0.1614457831325301
13,0.9090909090909091,0.8951048951048951,0.9020979020979021
14,0.9751693002257337,0.9785553047404063,0.981941309255079
15,0.06296296296296296,0.05925925925925926,0.025925925925925925
16,0.0,0.0,0.0
